Id,RoofStyle__3,GarageYrBlt,YearBuilt,LotShape__1,Neighborhood__5,Exterior2nd__14,Neighborhood__6,Neighborhood__11,RoofStyle__2,GarageType__4,MoSold__7,Condition1__7,Neighborhood__7,Exterior2nd__13,Foundation__3,Electrical__3,Neighborhood__8,TotalBaths,LotArea,SaleType__2,HouseStyle__4,MSSubClass__1,Exterior2nd__4,Fence__1,MSSubClass__4,FireplaceQu,Neighborhood__17,GarageCond,Neighborhood__21,Condition1__6,TotalSF,TotalSF,BedroomAbvGr,TotRmsAbvGrd,GrLivArea,Exterior1st__5,LotShape__2,BldgType__1,LotConfig__4,Exterior2nd__7,Neighborhood__1,MoSold__4,BsmtQual,MSSubClass__11,LotConfig__2,BsmtFinType1__6,SaleType__4,Exterior1st__9,BldgType__3,Neighborhood__22,YearRemodAdd,Electrical__1,Condition1__2,MSZoning__4,GarageType__5,YrSold,Neighborhood__9,LotShape__3,ExterCond,MoSold__1,BsmtFinType1__5,Neighborhood__16,BsmtFinType1__3,Condition1__1,Exterior1st__3,CarCapacity,BsmtExposure,OverallQual,Exterior1st__11,HouseStyle__1,Condition1__4,BsmtFinType1__4,Condition1__5,Neighborhood__15,HeatingQC,MSSubClass__10,GarageType__3,GarageFinish__1,MasVnrType__1,Neighborhood__3,MasVnrType__3,Exterior1st__1,Foundation__4,MSSubClass__3,Neighborhood__12,SaleCondition__3,MSSubClass__8,Fence__2,Condition1__3,MSSubClass__14,MoSold__2,ExterQual,Exterior1st__2,SaleType__6,SaleType__7,Exterior2nd__8,Fireplaces,BsmtCond,Neighborhood__13,Exterior2nd__12,Electrical__2,RoofStyle__1,MoSold__5,SaleType__3,Neighborhood__18,GarageType__2,MoSold__11,SaleCondition__2,Exterior1st__6,GarageFinish__3,HouseStyle__5,Exterior2nd__1,HouseStyle__2,SaleType__5,Neighborhood__20,GarageFinish__2,Exterior2nd__2,MoSold__6,Foundation__1,LotConfig__3,MoSold__10,MSSubClass__7,BsmtFinType1__1,LotFrontage,Exterior1st__4,Foundation__2,MSSubClass__9,HouseStyle__6,Exterior2nd__3,Exterior2nd__11,Exterior2nd__10,SaleCondition__1,MSSubClass__12,BsmtFinType1__2,HouseStyle__3,Exterior2nd__6,GarageQual,MSZoning__1,OverallCond,MasVnrType__2,Exterior1st__8,Neighborhood__19,MoSold__8,MSZoning__2,Exterior1st__7,MSSubClass__5,MasVnrArea,Exterior2nd__5,KitchenQual,MoSold__3,MasVnrType__4,SaleCondition__4,MSZoning__3,BldgType__4,MSSubClass__6,GarageType__1,Neighborhood__10,MoSold__9,Neighborhood__4,Exterior2nd__9,LotConfig__1,Neighborhood__14,MSSubClass__15,BldgType__2,SaleType__1,SalePrice
1,0,1.0015331968862695,1.0469140499179068,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5901578110414831,-0.21563645899639225,0,0,0,0,0,0,0.0010438362450509826,0,0.12758014784649002,0,0,0.030273701856673507,0.030273701856673507,0.16963124030871848,0.9920243555347904,0.4262531421553333,0,0,0,0,0,0,0,0.6166689300833305,0,0,0,0,0,0,0,0.897741460306318,0,0,0,0,0.15747704540379245,0,1,-0.2301713547281457,0,0,0,0,1,0,0.15776233195619774,-0.6480119204930129,0.6492047270274337,0,0,0,0,0,0,0.8864324854613941,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0437502187073695,0,1,0,0,-0.9246099128032372,-0.009719039964678251,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.2091331937483711,0,0,0,0,0,0,0,0,0,0,0,0,0.15350177661027742,0,-0.5072951451971113,0,0,0,0,0,0,0,0.533830568655786,0,0.7415185647591002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.247699116372562
2,0,-0.08453294123186057,0.15539236933668787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3508419812948667,-0.06755774495867936,0,0,0,0,0,1,-0.8057828263039846,0,0.12758014784649002,0,0,-0.02350210874843681,-0.02350210874843681,0.16963124030871848,-0.2865360956207669,-0.4753380628535122,0,0,0,0,0,0,1,0.6166689300833305,0,0,1,0,0,0,0,-0.3946516765164436,0,0,0,0,-0.6027929287640905,0,1,-0.2301713547281457,0,0,0,0,0,0,-0.08103220402020764,2.2605550384519835,-0.061945154269334515,0,0,0,0,1,0,0.8864324854613941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6835912329105025,0,1,0,0,0.6275849667213683,-0.009719039964678251,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.4981922185503914,1,0,0,0,1,0,0,0,0,0,0,0,0.15350177661027742,0,2.1871905440465613,1,0,0,0,0,0,0,-0.5671527197050025,0,-0.7710975407421373,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.109016442313738
3,0,0.921083853321964,0.9808754069118908,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5901578110414831,0.14490301866064778,0,0,0,0,0,0,-0.8057828263039846,0,0.12758014784649002,0,0,0.20952640387370786,0.20952640387370786,0.16963124030871848,-0.2865360956207669,0.5792016501479054,0,1,0,0,0,0,0,0.6166689300833305,0,0,0,0,0,0,0,0.8498750478314009,0,0,0,0,0.15747704540379245,0,0,-0.2301713547281457,0,0,0,0,1,0,0.3205767883037469,0.32151039915531915,0.6492047270274337,0,0,0,0,0,0,0.8864324854613941,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0437502187073695,0,1,0,0,0.6275849667213683,-0.009719039964678251,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.06766811128861862,0,0,0,0,0,0,0,0,0,0,0,0,0.15350177661027742,0,-0.5072951451971113,0,0,0,0,0,0,0,0.3428436716952412,0,0.7415185647591002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.317171167298682
4,0,0.8004098379755049,-1.858786242346807,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.26881593357844163,-0.07399594991684079,0,0,0,0,0,0,1.015652666408371,0,0.12758014784649002,0,0,-0.08880130734035646,-0.08880130734035646,0.16963124030871848,0.3527441299570118,0.4403405047335965,0,1,0,0,1,0,0,-0.8366880209714862,0,0,1,0,0,0,0,-0.6818501513659462,0,0,0,0,-1.3630629029319734,0,0,-0.2301713547281457,0,0,0,0,1,0,1.2838956550267457,-0.6480119204930129,0.6492047270274337,0,0,0,0,0,0,-0.1575243512128483,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.6835912329105025,0,1,0,0,0.6275849667213683,3.433353252069121,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.444908331181292,0,0,0,0,0,0,0,0,0,0,0,0,0.15350177661027742,0,-0.5072951451971113,1,0,0,0,0,1,1,-0.5671527197050025,0,0.7415185647591002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.849404844423075
5,0,0.8808591815398109,0.9478560854088826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5901578110414831,0.5324829571419658,1,1,0,0,1,0,-0.8057828263039846,1,0.12758014784649002,0,0,1.0251261980512143,1.0251261980512143,1.3849744755426805,1.6313045811125693,1.4083435618971116,0,0,0,0,0,0,0,0.6166689300833305,0,0,0,0,0,0,0,0.7541422228815666,0,0,0,0,0.15747704540379245,0,0,-0.2301713547281457,0,0,0,0,0,0,2.0735457683123597,1.2910327188036514,1.360354608324202,0,0,0,0,0,0,0.8864324854613941,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0437502187073695,0,0,0,0,0.6275849667213683,-0.009719039964678251,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6868123284967281,0,0,0,0,0,0,0,0,0,0,0,0,0.15350177661027742,0,-0.5072951451971113,0,0,0,0,0,0,0,1.3988888666535486,0,0.7415185647591002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.429220196836386
6,0,0.5992864790647401,0.7167208348878258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3508419812948667,0.5138121627632977,0,0,0,0,0,0,0.0010438362450509826,0,0.12758014784649002,0,1,-0.4921198868786838,-0.4921198868786838,-2.2610552301592053,-0.9258163211985456,-0.27409002602118065,0,1,0,0,0,0,0,0.6166689300833305,0,1,0,0,0,0,0,0.5148101605069811,0,0,0,0,0.9177470195716754,0,0,-0.2301713547281457,0,0,0,0,0,0,-0.026760718571024588,-0.6480119204930129,-0.7730950355661027,0,0,0,0,0,0,0.8864324854613941,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.6835912329105025,0,0,0,0,-0.9246099128032372,-0.009719039964678251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7339673559833122,0,0,0,0,0,0,0,1,0,0,1,0,0.15350177661027742,0,-0.5072951451971113,0,0,0,0,0,0,0,-0.5671527197050025,0,-0.7710975407421373,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,11.870606902224589
7,0,1.0417578686684228,1.079933371420915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9704998961681752,-0.005235920963676729,1,0,1,0,1,0,1.015652666408371,0,0.12758014784649002,0,0,1.0725001264414304,1.0725001264414304,0.16963124030871848,0.3527441299570118,0.39405345626216026,0,0,1,0,0,0,0,2.070025881138147,0,0,0,0,0,0,0,0.993474285256152,1,0,0,0,-0.6027929287640905,0,1,-0.2301713547281457,0,0,0,0,0,0,0.3965568679326032,1.2910327188036514,1.360354608324202,0,0,0,0,0,0,0.8864324854613941,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0437502187073695,0,0,0,0,0.6275849667213683,-0.009719039964678251,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.2624170811174705,0,0,0,0,0,0,0,0,0,0,0,0,0.15350177661027742,0,-0.5072951451971113,0,0,0,0,0,0,0,0.4776579519026846,0,0.7415185647591002,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.63460628389302
8,0,-0.2052069565783195,0.056334404827663526,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5901578110414831,0.03313578058696538,1,1,0,1,1,0,-0.8057828263039846,0,0.12758014784649002,0,0,0.838191237376307,0.838191237376307,0.16963124030871848,0.3527441299570118,1.1909956821181935,0,0,0,0,0,0,0,0.6166689300833305,0,0,0,0,0,0,0,-0.5382509139411951,0,0,0,0,0.9177470195716754,0,0,-0.2301713547281457,0,0,0,1,0,0,-0.015906421481187982,0.32151039915531915,0.6492047270274337,0,0,0,0,0,0,0.8864324854613941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6835912329105025,0,0,0,0,2.179779846245974,-0.009719039964678251,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.4981922185503914,0,0,0,0,0,0,0,0,0,0,0,0,0.15350177661027742,0,0.3908667512174463,0,0,0,0,0,0,0,0.7809900823694325,0,-0.7710975407421373,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12.206077645517675
9,0,-1.8946431714287448,-1.330477098298677,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.26881593357844163,-0.5156568100467148,0,0,0,0,0,0,-0.8057828263039846,0,0.12758014784649002,0,0,0.2351339327332842,0.2351339327332842,-1.0457119949252436,0.9920243555347904,0.5550518857280256,0,0,0,0,1,0,0,-0.8366880209714862,0,0,0,0,0,0,0,-1.6391784008642882,0,0,1,0,0.15747704540379245,0,1,-0.2301713547281457,0,0,0,1,0,0,-0.059323609840534426,-0.6480119204930129,0.6492047270274337,0,0,0,0,0,0,-0.1575243512128483,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.6835912329105025,0,1,0,0,2.179779846245974,-0.009719039964678251,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.8693035785605494,0,0,0,0,0,0,0,0,0,0,1,0,-3.916012474989757,0,-0.5072951451971113,1,1,1,0,0,0,0,-0.5671527197050025,0,-0.7710975407421373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.774527900858464
10,0,-1.5728457971715206,-1.0663225262746123,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.26881593357844163,-0.3482634811345177,0,0,0,0,0,0,-0.8057828263039846,0,0.12758014784649002,0,0,-0.6073537667467773,-0.6073537667467773,-1.0457119949252436,-0.9258163211985456,-0.8476469309933258,0,0,0,0,0,0,0,-0.8366880209714862,0,0,0,0,0,0,0,-1.6391784008642882,0,0,0,0,0.15747704540379245,0,0,-0.2301713547281457,0,0,0,0,0,0,-1.0511350064243543,-0.6480119204930129,-0.7730950355661027,1,0,0,0,0,0,0.8864324854613941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6835912329105025,0,0,0,0,2.179779846245974,-0.009719039964678251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9164586060471336,0,0,0,1,1,0,0,1,0,0,0,0,4.223016028210312,0,0.3908667512174463,0,0,0,0,0,0,0,-0.5671527197050025,0,-0.7710975407421373,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,11.678448377988165
