Id,Neighborhood__ClearCr,RoofMatl__WdShake,MoSold__12,GarageYrBlt,TotRmsAbvGrd,Neighborhood__BrDale,MasVnrType__No Masonry Veneer,Foundation__CBlock,GarageType__Basment,Fireplaces,MSSubClass__80,SaleType__Oth,RoofStyle__Shed,Alley__No Alley,MSSubClass__180,MSSubClass__90,MSSubClass__85,Exterior2nd__Stucco,Exterior2nd__AsphShn,SaleType__ConLw,Exterior2nd__VinylSd,FireplaceQu,BldgType__2fmCon,ScreenPorch__1,Exterior2nd__BrkFace,Exterior2nd__CmentBd,GarageCond,Condition2__Norm,RoofStyle__Hip,MSZoning__RL,SaleType__New,Exterior1st__BrkComm,Functional__Typ,3SsnPorch__1,Condition1__RRAn,RoofMatl__Tar&Grv,Functional__Maj2,SaleType__CWD,SaleCondition__Partial,MSZoning__RH,Foundation__Stone,YrSold,Exterior2nd__ImStucc,Functional__Mod,HouseStyle__1Story,Neighborhood__NAmes,Exterior2nd__MetalSd,MSZoning__FV,Foundation__PConc,WoodDeckSF__1,Neighborhood__Mitchel,Exterior1st__VinylSd,PoolArea__1,Neighborhood__OldTown,BsmtFinType1__BLQ,Neighborhood__Edwards,PavedDrive__P,MoSold__10,KitchenQual,Exterior1st__CBlock,SaleCondition__Family,BsmtFinType1__LwQ,MoSold__11,GarageQual,Exterior1st__CemntBd,Electrical__FuseF,Neighborhood__MeadowV,Neighborhood__SawyerW,Heating__Wall,Neighborhood__CollgCr,Condition1__RRNe,CentralAir__Y,SaleCondition__Normal,Alley__Pave,Condition1__PosA,Exterior2nd__Stone,MiscFeature__Shed,EnclosedPorch__1,Condition1__RRAe,BsmtCond,Functional__Sev,BsmtFinType1__GLQ,SaleCondition__Alloca,LotConfig__CulDSac,MoSold__4,ExterQual,GarageType__CarPort,YearRemodAdd,Street__Pave,Condition1__PosN,GarageType__Detchd,MSSubClass__160,RoofMatl__WdShngl,SaleType__WD,Condition2__PosN,MasVnrType__Stone,MoSold__6,LotConfig__FR2,CarCapacity,Electrical__SBrkr,MSSubClass__45,HeatingQC,BldgType__TwnhsE,YearBuilt,MoSold__2,Exterior2nd__HdBoard,BsmtQual,Fence__GdWo,SaleType__ConLI,LotShape__IR2,Condition1__Feedr,MasVnrType__None,GarageFinish__Unf,Condition2__Feedr,Neighborhood__BrkSide,Condition2__PosA,BsmtFinType1__Unf,PavedDrive__Y,MoSold__8,TotalSF,RoofStyle__Gable,Condition1__RRNn,GarageType__BuiltIn,Neighborhood__Gilbert,Neighborhood__Crawfor,Foundation__Wood,TotalBaths,BsmtExposure,Foundation__Slab,Neighborhood__IDOTRR,Neighborhood__StoneBr,Fence__MnWw,OpenPorchSF__1,Exterior1st__Plywood,Exterior1st__AsphShn,LandContour__HLS,Exterior1st__Wd Sdng,Condition1__Norm,Fence__No Fence,LotConfig__FR3,GarageFinish__RFn,MoSold__7,MSSubClass__60,Neighborhood__Sawyer,MasVnrType__BrkFace,MSSubClass__75,MSSubClass__40,GarageType__Attchd,MasVnrArea,LotShape__Reg,ExterCond,HouseStyle__SFoyer,Exterior2nd__Wd Sdng,Neighborhood__NWAmes,SaleType__ConLD,Neighborhood__NPkVill,LotFrontage,MSSubClass__190,MSSubClass__120,BedroomAbvGr,SaleCondition__AdjLand,Neighborhood__SWISU,Neighborhood__Veenker,Functional__Min2,OverallQual,Functional__Min1,MoSold__3,Neighborhood__NoRidge,HouseStyle__2.5Unf,BsmtFinType1__Rec,Neighborhood__Timber,Heating__GasW,Exterior2nd__Wd Shng,GarageType__No Garage,Fence__MnPrv,Exterior1st__HdBoard,HouseStyle__SLvl,LandContour__Lvl,MoSold__9,HouseStyle__2Story,MSZoning__RM,Exterior2nd__Plywood,LotArea,Exterior1st__MetalSd,GarageFinish__No Garage,Exterior1st__Stucco,OverallCond,MoSold__5,Exterior1st__WdShing,MSSubClass__50,Heating__Grav,LandSlope__Sev,LandContour__Low,Neighborhood__Blueste,MSSubClass__70,Exterior2nd__Brk Cmn,SaleType__Con,Exterior2nd__CBlock,Neighborhood__NridgHt,BsmtFinType1__No Basement,LotConfig__Inside,GrLivArea,LandSlope__Mod,BldgType__Twnhs,LotShape__IR3,Exterior1st__BrkFace,Electrical__FuseP,RoofStyle__Gambrel,MSSubClass__30,BldgType__Duplex,RoofStyle__Mansard,Neighborhood__Somerst,HouseStyle__1.5Unf,SalePrice
1,0,0,0,1.0015331968862697,0.9920243555347905,0,0,0,0,-0.9246099128032373,0,0,0,1,0,0,0,0,0,0,1,0.0010438362450509826,0,0,0,0,0.12758014784649,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.15747704540379243,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.7415185647591002,0,0,0,0,0.15350177661027742,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.009719039964678251,0,1,0,0,0,1.0437502187073697,0,0.897741460306318,1,0,0,0,0,1,0,0,0,0,0.15776233195619777,1,0,0.8864324854613941,0,1.0469140499179068,1,0,0.6166689300833305,0,0,0,0,0,0,0,0,0,0,1,0,0.030273701856673503,1,0,0,0,0,0,1.5901578110414833,-0.648011920493013,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0.533830568655786,1,-0.23017135472814573,0,0,0,0,0,-0.2091331937483711,0,0,0.16963124030871848,0,0,0,0,0.6492047270274337,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-0.21563645899639222,0,0,0,-0.5072951451971113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.42625314215533333,0,0,0,0,0,0,0,0,0,0,0,12.247699116372562
2,0,0,0,-0.08453294123186057,-0.28653609562076693,0,0,1,0,0.6275849667213683,0,0,0,1,0,0,0,0,0,0,0,-0.8057828263039846,0,0,0,0,0.12758014784649,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.6027929287640905,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.7710975407421373,0,0,0,0,0.15350177661027742,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.009719039964678251,0,0,0,0,0,-0.6835912329105025,0,-0.3946516765164436,1,0,0,0,0,1,0,0,0,1,-0.08103220402020764,1,0,0.8864324854613941,0,0.15539236933668787,0,0,0.6166689300833305,0,0,0,1,1,0,0,0,0,0,1,0,-0.023502108748436806,1,0,0,0,0,0,0.3508419812948667,2.2605550384519835,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.5671527197050025,1,-0.23017135472814573,0,0,0,0,0,0.49819221855039136,0,0,0.16963124030871848,0,0,1,0,-0.06194515426933451,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.06755774495867936,1,0,0,2.1871905440465613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47533806285351227,0,0,0,0,0,0,0,0,0,0,0,12.109016442313738
3,0,0,0,0.9210838533219639,-0.28653609562076693,0,0,0,0,0.6275849667213683,0,0,0,1,0,0,0,0,0,0,1,-0.8057828263039846,0,0,0,0,0.12758014784649,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.15747704540379243,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.7415185647591002,0,0,0,0,0.15350177661027742,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.009719039964678251,0,1,0,0,0,1.0437502187073697,0,0.8498750478314009,1,0,0,0,0,1,0,0,0,0,0.3205767883037469,1,0,0.8864324854613941,0,0.9808754069118907,0,0,0.6166689300833305,0,0,0,0,0,0,0,0,0,0,1,0,0.20952640387370786,1,0,0,0,0,0,1.5901578110414833,0.32151039915531915,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0.34284367169524116,0,-0.23017135472814573,0,0,0,0,0,-0.06766811128861863,0,0,0.16963124030871848,0,0,0,0,0.6492047270274337,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.14490301866064778,0,0,0,-0.5072951451971113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5792016501479054,0,0,0,0,0,0,0,0,0,0,0,12.317171167298682
4,0,0,0,0.8004098379755049,0.3527441299570118,0,0,0,0,0.6275849667213683,0,0,0,1,0,0,0,0,0,0,0,1.015652666408371,0,0,0,0,0.12758014784649,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.3630629029319734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7415185647591002,0,0,0,0,0.15350177661027742,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.433353252069121,0,0,0,0,0,-0.6835912329105025,0,-0.6818501513659462,1,0,1,0,0,1,0,0,0,0,1.283895655026746,1,0,-0.1575243512128483,0,-1.858786242346807,1,0,-0.8366880209714862,0,0,0,0,1,1,0,0,0,0,1,0,-0.08880130734035646,1,0,0,0,1,0,-0.26881593357844163,-0.648011920493013,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.5671527197050025,0,-0.23017135472814573,0,0,0,0,0,-0.44490833118129197,0,0,0.16963124030871848,0,0,0,0,0.6492047270274337,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-0.07399594991684079,0,0,0,-0.5072951451971113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.44034050473359654,0,0,0,0,0,0,0,0,0,0,0,11.849404844423075
5,0,0,1,0.8808591815398109,1.6313045811125693,0,0,0,0,0.6275849667213683,0,0,0,1,0,0,0,0,0,0,1,-0.8057828263039846,0,0,0,0,0.12758014784649,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.15747704540379243,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.7415185647591002,0,0,0,0,0.15350177661027742,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.009719039964678251,0,1,0,0,0,1.0437502187073697,0,0.7541422228815666,1,0,0,0,0,1,0,0,0,1,2.0735457683123593,1,0,0.8864324854613941,0,0.9478560854088826,0,0,0.6166689300833305,0,0,0,0,0,0,0,0,0,0,1,0,1.0251261980512143,1,0,0,0,0,0,1.5901578110414833,1.2910327188036514,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1.3988888666535486,0,-0.23017135472814573,0,0,0,0,0,0.686812328496728,0,0,1.3849744755426805,0,0,0,0,1.360354608324202,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5324829571419658,0,0,0,-0.5072951451971113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4083435618971116,0,0,0,0,0,0,0,0,0,0,0,12.429220196836386
6,0,0,0,0.5992864790647401,-0.9258163211985456,0,0,0,0,-0.9246099128032373,0,0,0,1,0,0,0,0,0,0,1,0.0010438362450509826,0,0,0,0,0.12758014784649,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.9177470195716754,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-0.7710975407421373,0,0,0,0,0.15350177661027742,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-0.009719039964678251,0,1,0,0,0,-0.6835912329105025,0,0.5148101605069811,1,0,0,0,0,1,0,0,0,0,-0.026760718571024588,1,0,0.8864324854613941,0,0.7167208348878258,0,0,0.6166689300833305,0,0,0,0,1,1,0,0,0,0,1,0,-0.4921198868786838,1,0,0,0,0,1,0.3508419812948667,-0.648011920493013,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.5671527197050025,0,-0.23017135472814573,0,0,0,0,0,0.7339673559833122,0,0,-2.2610552301592053,0,0,0,0,-0.7730950355661027,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5138121627632977,0,0,0,-0.5072951451971113,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.27409002602118065,0,0,0,0,0,0,0,0,0,0,0,11.870606902224589
7,0,0,0,1.0417578686684228,0.3527441299570118,0,0,0,0,0.6275849667213683,0,0,0,1,0,0,0,0,0,0,1,1.015652666408371,0,0,0,0,0.12758014784649,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.6027929287640905,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.7415185647591002,0,0,0,0,0.15350177661027742,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.009719039964678251,0,1,0,0,0,1.0437502187073697,0,0.9934742852561521,1,0,0,0,0,1,0,1,0,0,0.3965568679326032,1,0,0.8864324854613941,0,1.079933371420915,0,0,2.070025881138147,0,0,0,0,0,0,0,0,0,0,1,1,1.0725001264414304,1,0,0,0,0,0,0.9704998961681751,1.2910327188036514,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0.4776579519026846,1,-0.23017135472814573,0,0,0,0,0,0.26241708111747053,0,0,0.16963124030871848,0,0,0,0,1.360354608324202,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.00523592096367673,0,0,0,-0.5072951451971113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39405345626216026,0,0,0,0,0,0,0,0,0,1,0,12.63460628389302
8,0,0,0,-0.2052069565783195,0.3527441299570118,0,0,1,0,2.179779846245974,0,0,0,1,0,0,0,0,0,0,0,-0.8057828263039846,0,0,0,0,0.12758014784649,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.9177470195716754,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.7710975407421373,0,0,0,1,0.15350177661027742,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,-0.009719039964678251,0,0,0,0,0,-0.6835912329105025,0,-0.538250913941195,1,1,0,0,0,1,0,1,0,0,-0.01590642148118798,1,0,0.8864324854613941,0,0.05633440482766353,0,1,0.6166689300833305,0,0,0,0,0,0,0,0,0,0,1,0,0.838191237376307,1,0,0,0,0,0,1.5901578110414833,0.32151039915531915,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.7809900823694325,0,-0.23017135472814573,0,0,1,0,0,0.49819221855039136,0,0,0.16963124030871848,0,0,0,0,0.6492047270274337,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.03313578058696538,0,0,0,0.3908667512174463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1909956821181935,0,0,0,0,0,0,0,0,0,0,0,12.206077645517675
9,0,0,0,-1.8946431714287446,0.9920243555347905,0,0,0,0,2.179779846245974,0,0,0,1,0,0,0,0,0,0,0,-0.8057828263039846,0,0,0,0,0.12758014784649,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15747704540379243,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.7710975407421373,0,0,0,0,-3.916012474989757,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.009719039964678251,0,0,0,0,1,-0.6835912329105025,0,-1.6391784008642882,1,0,1,0,0,1,0,0,0,0,-0.05932360984053442,0,0,-0.1575243512128483,0,-1.330477098298677,0,0,-0.8366880209714862,0,0,0,0,1,1,0,0,0,1,1,0,0.2351339327332842,1,0,0,0,0,0,-0.26881593357844163,-0.648011920493013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5671527197050025,1,-0.23017135472814573,0,0,0,0,0,-0.8693035785605494,0,0,-1.0457119949252436,0,0,0,0,0.6492047270274337,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-0.5156568100467148,0,0,0,-0.5072951451971113,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5550518857280256,0,0,0,1,0,0,0,0,0,0,0,11.774527900858464
10,0,0,0,-1.5728457971715206,-0.9258163211985456,0,0,0,0,2.179779846245974,0,0,0,1,0,0,0,0,0,0,0,-0.8057828263039846,1,0,0,0,0.12758014784649,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.15747704540379243,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7710975407421373,0,0,0,0,4.223016028210312,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.009719039964678251,0,1,0,0,0,-0.6835912329105025,0,-1.6391784008642882,1,0,0,0,0,1,0,0,0,0,-1.0511350064243545,1,0,0.8864324854613941,0,-1.0663225262746123,0,0,-0.8366880209714862,0,0,0,0,1,0,0,1,0,0,1,0,-0.6073537667467773,1,0,0,0,0,0,-0.26881593357844163,-0.648011920493013,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.5671527197050025,1,-0.23017135472814573,0,0,0,0,0,-0.9164586060471336,1,0,-1.0457119949252436,0,0,0,0,-0.7730950355661027,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.34826348113451766,1,0,0,0.3908667512174463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8476469309933258,0,0,0,0,0,0,0,0,0,0,1,11.678448377988165
