Id,SalePrice
1461,106112.11141577279
1462,149694.25017708683
1463,167644.82689102818
1464,189122.8399364951
1465,181500.81758015056
1466,170828.13923129215
1467,175465.02758019746
1468,159599.97725659603
1469,193119.40230874697
1470,106972.98416138937
1471,178805.35111480916
1472,101005.38169732106
1473,102768.21084698
1474,150674.43403293125
1475,118923.48804832391
1476,348555.254243119
1477,239664.48613461337
1478,295449.8229689005
1479,281551.47920413554
1480,518446.5928250019
1481,338723.99790433014
1482,198237.52181189277
1483,173237.40450546285
1484,167186.83619483677
1485,182591.8780087409
1486,192677.37844157912
1487,332559.08292578225
1488,243104.00210876146
1489,173570.78182663664
1490,198525.4423409089
1491,193265.33622740165
1492,93229.42677145763
1493,185234.42890841013
1494,299804.70481376606
1495,279057.5798253224
1496,198451.1576217842
1497,168127.5784364505
1498,144662.57012688846
1499,149199.47762165318
1500,146941.33803042665
1501,166241.81875283085
1502,144885.75374812895
1503,247013.7395513889
1504,221448.6100860251
1505,203875.2070554249
1506,190351.38406486658
1507,249803.9887152205
1508,197240.46884977524
1509,151330.43635552347
1510,134471.7372768248
1511,132616.15326919785
1512,170148.21802731202
1513,132264.34973150655
1514,163981.64376760746
1515,216571.11258321968
1516,153241.64327828685
1517,180850.3439535589
1518,136023.5213778738
1519,206232.28426525704
1520,121496.94809012722
1521,119707.65270745466
1522,173110.30757054652
1523,104355.10289070348
1524,112621.29208622272
1525,109724.47323894841
1526,106912.7730367522
1527,103888.78518608294
1528,136213.91809474697
1529,136142.83223190196
1530,178917.87481404687
1531,111028.77930308289
1532,102144.16305427777
1533,155758.57246499683
1534,115640.84946082595
1535,151618.05606994315
1536,103606.48926502863
1537,62516.574538847606
1538,153279.79305346205
1539,189385.81542017477
1540,114938.7829480525
1541,136532.98741464532
1542,132968.91453904178
1543,193599.99635555997
1544,90613.3611054835
1545,109853.08535304399
1546,123929.74354540622
1547,128065.7471815054
1548,125266.39556846286
1549,108056.28008329071
1550,118389.28689904786
1551,105421.68920038185
1552,127166.60914100704
1553,137942.16147397424
1554,121048.48603886476
1555,172079.62187081287
1556,84702.95013614
1557,99048.93027709366
1558,99149.62837906067
1559,88442.8308540797
1560,124480.32920900376
1561,149545.97054642803
1562,133722.9878885587
1563,112351.36148137083
1564,149908.09848387013
1565,143846.10351344978
1566,240422.1844200475
1567,81812.65100306695
1568,227344.33196528323
1569,124580.70071288807
1570,135188.4765591908
1571,113968.83964168352
1572,142131.82320756293
1573,245813.34867836375
1574,117299.99784057142
1575,230098.70410069407
1576,241025.00600202617
1577,203734.1192675243
1578,133161.03651635037
1579,150695.4447551322
1580,189208.42637738146
1581,165334.67658350826
1582,134650.18348617555
1583,304847.93385665584
1584,221782.70883517544
1585,154276.26175002556
1586,78503.27358519945
1587,92483.49059075202
1588,142873.97259396277
1589,96334.89679868644
1590,140081.5125270938
1591,93540.65796518193
1592,121582.30988126299
1593,119964.14087949168
1594,144106.6316482909
1595,108942.57619668609
1596,210827.01005656517
1597,168470.9029493906
1598,203448.8267778668
1599,171643.91891864678
1600,171937.0049211106
1601,63713.81109508725
1602,102206.8070921151
1603,89779.55930475755
1604,250558.462151673
1605,236280.575371299
1606,160770.0835787689
1607,201087.02887888512
1608,215023.91045328975
1609,177670.4287896443
1610,139475.11965726656
1611,134432.10693347314
1612,168081.89931404564
1613,155766.0374945014
1614,119269.53478463637
1615,100198.76241347112
1616,86135.99313948596
1617,96487.8098345366
1618,107220.78093437187
1619,129455.59177816893
1620,176487.27956612385
1621,131846.31747431553
1622,134297.95894785904
1623,280596.793116957
1624,197686.53498843056
1625,105654.93088490525
1626,171665.14736951786
1627,178096.004101902
1628,285846.0320610462
1629,177120.52424518295
1630,335706.74742944783
1631,220190.32307790557
1632,225171.9092425389
1633,161805.80502293154
1634,182142.5561679538
1635,173042.15420906935
